年龄分层,活动能力分层,初始痰湿积分分层,患者数,平均初始积分,平均期末积分,平均总成本,平均降幅,平均降幅百分比,最常见首月强度,最常见首月频率,最常见方案形态,模型,平均期末痰湿积分,平均6个月总成本,平均总负担指数,相对严格模型平均积分损失,相对严格模型平均成本节约,相对严格模型平均负担下降,年龄组名称,初始积分分层,平均帕累托点数量,平均均衡方案期末积分,平均均衡方案总成本,平均疗效最优期末积分,平均疗效最优总成本,平均最低成本期末积分,平均最低成本总成本,最常见均衡方案形态
80-89,>=60,55-58,4,55.5,40.775,900.0,14.725,26.535,1.0,10.0,稳定维持,严格主模型,,,,,,,,,,,,,,,,
80-89,>=60,59-61,4,59.25,43.5,950.0,15.75,26.5825,1.0,10.0,稳定维持,严格主模型,,,,,,,,,,,,,,,,
80-89,>=60,62-65,4,63.0,46.325,1037.5,16.674999999999997,26.47,1.0,10.0,稳定维持,严格主模型,,,,,,,,,,,,,,,,
40-59,40-59,55-58,35,,,,,,2.0,8.0,稳定维持,现实优化版,35.23,1325.71,344.51,0.85,54.29,15.49,,,,,,,,,,
40-59,40-59,59-61,19,,,,,,2.0,8.0,稳定维持,现实优化版,37.13,1390.0,348.0,0.7,40.0,12.0,,,,,,,,,,
40-59,40-59,62-65,21,,,,,,2.0,10.0,稳定维持,现实优化版,39.18,1461.43,348.0,0.75,40.0,12.0,,,,,,,,,,
40-59,<40,55-58,4,,,,,,1.0,10.0,稳定维持,现实优化版,41.98,876.0,232.0,0.85,24.0,8.0,,,,,,,,,,
40-59,<40,59-61,5,,,,,,1.0,10.0,稳定维持,现实优化版,45.1,926.0,232.0,0.96,24.0,8.0,,,,,,,,,,
40-59,<40,62-65,10,,,,,,1.0,10.0,稳定维持,现实优化版,47.42,1026.0,232.0,0.94,24.0,8.0,,,,,,,,,,
40-59,>=60,55-58,7,,,,,,3.0,10.0,波动调整,现实优化版,30.16,1860.0,440.0,0.91,120.0,20.0,,,,,,,,,,
40-59,>=60,59-61,3,,,,,,2.0,10.0,前低后高,现实优化版,32.0,1892.67,435.33,0.9,105.33,16.67,,,,,,,,,,
40-59,>=60,62-65,5,,,,,,2.0,10.0,前低后高,现实优化版,33.9,1896.0,424.0,0.76,64.0,16.0,,,,,,,,,,
60-79,40-59,55-58,24,,,,,,2.0,8.0,稳定维持,现实优化版,35.16,1327.5,344.92,0.84,52.5,15.08,,,,,,,,,,
60-79,40-59,59-61,26,,,,,,2.0,8.0,稳定维持,现实优化版,37.12,1390.0,348.0,0.7,40.0,12.0,,,,,,,,,,
60-79,40-59,62-65,26,,,,,,2.0,10.0,稳定维持,现实优化版,38.95,1457.31,348.0,0.77,40.0,12.0,,,,,,,,,,
60-79,<40,55-58,10,,,,,,1.0,10.0,稳定维持,现实优化版,42.8,876.0,232.0,0.85,24.0,8.0,,,,,,,,,,
60-79,<40,59-61,5,,,,,,1.0,10.0,稳定维持,现实优化版,44.94,926.0,232.0,0.92,24.0,8.0,,,,,,,,,,
60-79,<40,62-65,5,,,,,,1.0,10.0,稳定维持,现实优化版,48.1,1026.0,232.0,1.0,24.0,8.0,,,,,,,,,,
60-79,>=60,55-58,5,,,,,,2.0,10.0,稳定维持,现实优化版,35.6,1332.0,345.6,0.82,48.0,14.4,,,,,,,,,,
60-79,>=60,59-61,10,,,,,,2.0,8.0,稳定维持,现实优化版,37.16,1390.0,348.0,0.7,40.0,12.0,,,,,,,,,,
60-79,>=60,62-65,5,,,,,,2.0,10.0,稳定维持,现实优化版,39.72,1480.0,348.0,0.74,40.0,12.0,,,,,,,,,,
80-89,40-59,55-58,9,,,,,,1.0,10.0,稳定维持,现实优化版,42.81,876.0,232.0,0.86,24.0,8.0,,,,,,,,,,
80-89,40-59,59-61,12,,,,,,1.0,10.0,稳定维持,现实优化版,44.86,926.0,232.0,0.86,24.0,8.0,,,,,,,,,,
80-89,40-59,62-65,11,,,,,,1.0,10.0,稳定维持,现实优化版,47.39,1035.09,232.0,0.93,24.0,8.0,,,,,,,,,,
80-89,<40,55-58,2,,,,,,1.0,10.0,稳定维持,现实优化版,41.2,876.0,232.0,0.8,24.0,8.0,,,,,,,,,,
80-89,<40,59-61,4,,,,,,1.0,10.0,稳定维持,现实优化版,44.75,926.0,232.0,0.9,24.0,8.0,,,,,,,,,,
80-89,<40,62-65,3,,,,,,1.0,10.0,稳定维持,现实优化版,47.57,1026.0,232.0,0.97,24.0,8.0,,,,,,,,,,
80-89,>=60,55-58,4,,,,,,1.0,10.0,稳定维持,现实优化版,41.58,876.0,232.0,0.8,24.0,8.0,,,,,,,,,,
80-89,>=60,59-61,4,,,,,,1.0,8.0,稳定维持,现实优化版,44.38,926.0,232.0,0.88,24.0,8.0,,,,,,,,,,
80-89,>=60,62-65,4,,,,,,1.0,10.0,稳定维持,现实优化版,47.25,1026.0,232.0,0.93,24.0,8.0,,,,,,,,,,
,40-59,,19,,,,,,,,,帕累托辅助验证,,,,,,,40-49岁,55-58,65.36842105263158,46.25263157894737,684.0,34.46315789473684,1380.0,56.8421052631579,252.0,前低后高
,40-59,,8,,,,,,,,,帕累托辅助验证,,,,,,,40-49岁,59-61,60.875,46.2625,842.0,36.325,1430.0,57.8125,390.5,动态调整
,40-59,,10,,,,,,,,,帕累托辅助验证,,,,,,,40-49岁,62-65,55.5,47.65,976.2,38.44,1495.0,57.92999999999999,566.2,前高后低
,<40,,2,,,,,,,,,帕累托辅助验证,,,,,,,40-49岁,55-58,31.0,47.55,576.0,40.75,900.0,55.5,252.0,前低后高
